Markers,D0,D2,D4,D6
Setd2,0.3510088,0.3026468,0.1917126,0.1770933
Setd2,0.3718486,0.3040638,0.2326269,0.194508
Setd2,0.353845092,0.302220136,0.203682645,0.171869364
Setd2,0.368867999,0.304493067,0.218955856,0.200420032
pparg1,0.182298,0.3388909,0.5098011,0.5925094
pparg1,0.1918963,0.402052,0.5709186,0.6549757
pparg1,0.183771041,0.33841314,0.541631778,0.575031432
pparg1,0.19035813,0.402619603,0.53736679,0.674883558
pparg2,0.009080788,0.04331552,0.1957316,0.2695112
pparg2,0.008099011,0.04492771,0.2191947,0.2610298
pparg2,0.009154164,0.043254455,0.207952581,0.261561102
pparg2,0.008034092,0.044991137,0.206313041,0.26896375
cebpa,0.05656885,0.1435101,0.1882588,0.2251515
cebpa,0.06404334,0.1401818,0.1795606,0.2217509
cebpa,0.057025949,0.143307783,0.200013199,0.218509933
cebpa,0.063529992,0.140379704,0.169008162,0.228490975
Fabp4,1.164671,96.64188,274.2614,528.6841
Fabp4,1.21681,92.68808,284.3922,492.4263
Fabp4,1.174082009,96.50563671,291.3855812,513.0888646
Fabp4,1.207056499,92.8189338,267.6790066,507.3935008
Perilipin,4.64115E-05,0.09235686,0.4618723,0.769873
Perilipin,5.71543E-05,0.08687217,0.4725004,0.7129505
Perilipin,4.67865E-05,0.092226658,0.490710427,0.747163123
Perilipin,5.66962E-05,0.086994813,0.444732442,0.734620491
